Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Gu Family Book,"Apr 8, 2013 - Jun 25, 2013",2013,MBC,"Monday, Tuesday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Choi Kang Chi is a half-human and half-mythical-creature who was adopted by the lord of the Hundred Years Inn. He was the son of Gu Wol Ryung, the guardian spirit of Jiri Mountain, and the human Yoon Seo Hwa. Dam Yeo Wool is a martial arts master and daughter of the leader of a secret organization protecting the region. She was sent to the Hundred Years Inn to observe and protect its lord. They met at the Hundred Years Inn, the most popular inn in the region, and fell in love with each other despite Choi Kang Chi being a half-human. When their world turned into chaos, it is up to Choi Kang Chi to put it back into order; and up to Dam Yeo Wool to ensure that Choi Kang Chi's half-mythical-creature side does not get the best of him.","Action, Historical, Romance, Fantasy ","Interspecies Romance, Nine-tailed Fox, Strong Female Lead, Superhuman Strength, Revenge, Cross-Dressing, Badass Female Lead, Eccentric Male Lead, Love Triangle, Shamanism","Shin Woo Cheol, Kim Jung Hyun",Kang Eun Kyung,"Lee Seung Gi, Bae Suzy, Lee Sung Jae, Yoo Yeon Seok, Lee Yoo Bi, Sung Joon",Samhwa Networks,#201
The Hymn of Death,"Nov 27, 2018 - Dec 4, 2018",2018,"Netflix, SBS","Monday, Tuesday",6,35 min.,15+ - Teens 15 or older,8.3,"Kim Woo Jin is a stage drama writer while Korea is under Japanese occupation. He is married, but he falls in love with Yun Shim Deok. Shim Deok is the first Korean soprano. She records the song “Praise of Death” which becomes the first Korean pop song in 1926. Woo Jin and Shim Deok's fate ends tragically.","Music, Historical, Romance, Melodrama","Forbidden Love, Based On True Story, Biographical, Miniseries, Star Crossed Lovers, Rich Male Lead, Disapproving Parent, Japanese Colonial Rule, Arranged Marriage, Nice Male Lead",Park Soo Jin,Jo Soo Jin,"Lee Jong Suk, Shin Hye Sun, Park Seon Im, Lee Ji Hoon, Han Eun Seo, Kim Kang Hyun",The Story Works,#202
Jumong,"May 15, 2006 - Mar 6, 2007",2006,MBC,"Monday, Tuesday",81,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Jumong was the founder of Goguryeo in 37 BC. He was the son of General Hae Mo Su and Lady Yoo Hwa and was raised by King Geum Wa, who took him and his mother in when Hae Mo Su was believed to have been killed in an ambush by the Han Dynasty. So Seo No was a merchant's daughter who helped Jumong in realizing his dream to build a new country, and later became his second wife.","Adventure, Historical, Romance, Drama","Leadership, Strong Female Lead, Power Struggle, Goguryeo Dynasty, War, Jumong, Father-Son Relationship, Archery, Royalty, Han Dynasty","Lee Joo Hwan, Kim Keun Hong","Choi Wan Kyu, Jung Hyung Soo","Song Il Gook, Han Hye Jin, Kim Seung Soo, Jeon Kwang Ryul, Oh Yeon Soo, Song Ji Hyo","Chorokbaem Media, Olive9",#203
Vampire Prosecutor 2,"Sep 9, 2012 - Nov 18, 2012",2012,OCN,Sunday,11,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"In the second season of “Vampire Prosecutor,” Min Tae Yeon is back as the prosecutor who heads up a new division that investigates unsolved murder cases. No one, except for Detective Hwang Soon Bum, knows that Tae Yeon was bitten seven years ago and acquired vampire powers. Together, they solve murder cases, and each time Tae Yeon uses his “powers” to find leads on cases that seem unsolvable. But the one thing he can’t solve is: who was the vampire/serial killer that turned him seven years ago? And what happens when Jung In becomes suspicious of Tae Yeon’s “questionable” tactics in solving cases.","Action, Mystery, Drama, Supernatural","Supernatural Power, Police Procedural, Death, Investigation, Murder, Violence, Vampire Fiction, Prosecutor Male Lead, Torture, Kidnapping",Yoo Seon Dong,"Han Jung Hoon, Kang Eun Seon","Yeon Jung Hoon, Lee Young Ah, Lee Won Jong, Lee Kyung Young, Kim Joo Young, Gong Jung Hwan",CMG Chorok Stars,#204
Ugly Alert,"May 20, 2013 - Nov 29, 2013",2013,SBS,"Monday, Tuesday, Wednesday, Thursday, Friday",133,35 min.,15+ - Teens 15 or older,8.3,"The story of a man named Gong Joon Soo who sacrificed himself by pretending to be a murderer to protect his younger stepbrother from being accused instead. While serving time in prison, he learns to sew and acquires a trade. Following his release, he starts working in a fashion company that is a part of BY Group. There he meets the workaholic Na Do Hee, the heiress of her grandfather’s company. Na Do Hee falls in love with Gong Joon Soo as both of them get to understand each other and cure their wounds.","Business, Romance, Melodrama","Rich Woman/Poor Man, Nice Male Lead, Strong Female Lead, Female Chases Male First, Bromance, Unexpected Pregnancy, Steamy Kiss, Multiple Couples, Poor Male Lead, Ex-Convict Male Lead","Shin Yoon Sub, Min Yeon Hong",Jung Ji Woo,"Im Joo Hwan, Kang So Ra, Kang  Byul, Choi  Tae Joon, Kim Seol Hyun, Shin So Yool","Shinyoung E&C Group, Human Nature",#205
Misty,"Feb 2, 2018 - Mar 24, 2018",2018,jTBC,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Go Hye Ran is an ambitious anchorwoman for the popular news show, News 9. She is passionate about her job and doesn't stop until she gets what she wants. One day, she meets an old lover and his wife and gets tangled in a murder case. Her husband Kang Tae Wook, who is a public defender, decides to defend his wife and fix their failed marriage.","Thriller, Mystery, Romance, Melodrama","Strong Female Lead, Badass Female Lead, Infidelity, Murder, Smart Male Lead, Misunderstanding, Suspense, Eccentric Female Lead, Marriage, Calm Female Lead",Mo Wan Il,Je In,"Kim Nam Joo, Ji Jin Hee, Jeon Hye Jin, Im Tae Kyung, Go Jun, Jin Ki Joo",Story & Pictures Media,#206
Voice 3: City of Accomplices,"May 11, 2019 - Jun 30, 2019",2019,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,Emergency 112 call center members deal with an international evil cartel. The group is involved in the internet's dark web.,"Thriller, Mystery, Psychological, Crime","Strong Female Lead, Leadership, Tough Male Lead, Investigation, Calm Female Lead, Teamwork, Impulsive Male Lead, Smart Female Lead, Smart Male Lead, Human Trafficking",Nam Ki Hoon,Ma Jin Won,"Lee  Ha Na, Lee Jin Wook, Son Eun Seo, Kim Woo Seok, Kim Joong Ki, Song Boo Geon",Content K,#207
Confession,"Mar 23, 2019 - May 12, 2019",2019,tvN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,"A case involving the hidden truth behind the law prohibiting double jeopardy. When Choi Do Hyun was a boy, he had a heart disease. He spent most of his childhood in a hospital. He miraculously had a chance for a heart transplant. Right after the successful heart transplant surgery, his father was accused of murder. His father received the death penalty. To investigate his father's case, Do Hyun now works as a lawyer.","Thriller, Mystery, Law, Drama","Corruption, Wrongfully Accused, Nice Male Lead, Bromance, Smart Male Lead, Murder, Illness, Calm Male Lead, Hardworking Male Lead, Heart Transplant","Kim Chul Gyu, Yoon Hyun Gi",Im Hee Chul,"Lee Jun Ho, Shin Hyun Bin, Yoo Jae Myung, Nam Ki Ae, Yoon Gyung Ho, Ryu Kyung Soo",Ace Factory,#208
Again My Life,"Apr 8, 2022 - May 28, 2022",2022,"SBS, ViuTV","Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Kim Hee Woo came from an inauspicious start as a low-grade high schooler to work his way up through university and finally pass the bar examination. His relentless hard work has finally paid dividends, and he has become a public prosecutor. During the course of his investigations, he must conduct a probe into a politician suspected of corruption. But his investigation is abruptly ended when a mysterious man kills him. However, he later comes to, finding that he is actually alive. Restored to the mortal realm, he finds that he must return to university and complete his academic journey again – while he tries to discover the truth about what happened to him. On his journey, he encounters Kim Hee Ah, an exceptionally intelligent young woman who also happens to be the youngest daughter of the family that owns the wealthy Cheonha business group. As Kim Hee Woo and Kim Hee Ah intensify their search for answers, they discover that a shady cabal of rich power brokers may have played a part in his “death.”","Mystery, Law, Drama, Fantasy","Time Travel, Fight For Justice, Death, Prosecutor Male Lead, Second Chance, Strong Male Lead, Corruption, Violence, Investigation, Bullied Male Lead","Han Cheol Soo, Kim Yong Min","Lee Byung Hun, Kim Yool, J","Lee Joon Gi, Lee Kyung Young, Kim Ji Eun, Jung Sang Hoon, Choi Kwang, Hong Bi Ra","Samhwa Networks, Kross Pictures",#209
Money Heist: Korea - Joint Economic Area - Part 1,"Jun 24, 2022",2022,Netflix,Friday,6,1 hr. 10 min.,18+ Restricted (violence & profanity),8.3,"Thieves overtake the mint of a unified Korea. With hostages trapped inside, the police must stop them — as well as the shadowy mastermind behind it all.","Action, Thriller, Mystery, Crime","Hidden Identity, Hostage Situation, Reunification Of Korea, Multiple Mains, Sexual Content, Violence, Murder, Heist, Nudity, Strong Female Lead",Kim Hong Seon,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon","Yoo Ji Tae, Park Hae Soo, Jeon Jong Seo, Lee Won Jong, Kim Ji Hoon, Jang Yoon Ju","BH Entertainment, Zium Content",#210
Are You Human Too?,"Jun 4, 2018 - Aug 7, 2018",2018,KBS2,"Monday, Tuesday",36,35 min.,15+ - Teens 15 or older,8.3,"The drama tells of an android called Nam Shin III who must pretend to be the son of a rich family when the real Nam Shin falls into a coma. Nam Shin's mother, Oh Ro Ra, is a genius at brain technology and artificial intelligence (AI) so when her son, the real Nam Shin, is taken away from her at a young age, in her grief she creates an android that looks exactly like her son and has it grow up in the place of Nam Shin. But when Nam Shin, who is a third generation heir to PK group, gets in an accident and is comatose, the android Nam Shin III must learn how to take his place.","Comedy, Romance, Sci-Fi, Fantasy","Robot, Nice Male Lead, Artificial Intelligence, Interspecies Romance, Smart Male Lead, Identity Swap, Android, Strong Male Lead, Hidden Identity, Cheerful Male Lead",Cha Young Hoon,Jo Jung Joo,"Seo Kang Joon, Gong Seung Yeon, Lee Joon Hyuk, Park Hwan Hee, Kim Sung Ryung, Yoo Oh Sung",KBS Media,#211
Run On,"Dec 16, 2020 - Feb 4, 2021",2020,"jTBC, Netflix","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Ki Sun Gyeom is a sprinter on the national team who was forced to quit due to legal issues. Oh Mi Joo writes translated subtitles for movies. She was thrilled to see her name listed among the credits when she first started. Ki Sun Gyeom had just quit sprinting when he encountered Oh Mi Joo, who felt that destiny most certainly brought them together. Seo Dan Ah is the CEO of a sports agency and the rightful successor to the Seomyung Group. Despite this, she is held back from advancing in the company due to her gender. She fiercely wishes to reclaim what is rightfully hers and lives her life accordingly. Lee Young Hwa, a university art major who enjoys movies and drawing soon enters her life. Could romance be in the cards for these two couples?","Romance, Life, Drama, Sports","Strong Female Lead, Calm Male Lead, Quirky Humour, Multiple Couples, Nice Male Lead, Hardworking Female Lead, Smart Female Lead, Eccentric Male Lead, Famous Male Lead, Father-Son Relationship",Lee Jae Hoon,Park Shi Hyun,"Yim Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh, Park Young Gyu, Cha Hwa Yun","MAYS Entertainment, Zium Content",#212
The Smile Has Left Your Eyes,"Oct 3, 2018 - Nov 22, 2018",2018,tvN,"Thursday, Wednesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.3,"A TV series centered around the unfolding relationship between free and unpredictable yet dangerous Kim Moo Young, who is called a ""monster"". He is the first assistant in a Korean beer brewery who becomes a suspect when a woman's suicide turns out to be murder. His life begins to change when he meets a kind, warm advertising designer named Yoo Jin Kang, who wishes to be Moo Young's safe haven. She bears as many emotional scars as him. Yoo Jin Kang also has a brother, a homicide detective named Yoo Jin Gook, with 27 years of job experience. He strives to ""reveal"" who Moo Young really is and attempts to keep his sister, Jin Kang, away from Moo Young, with whom she begins to know.","Thriller, Mystery, Romance, Drama","Antihero, Psychological, Murder, Tragic Past, Smart Male Lead, Investigation, Eccentric Male Lead, Cold Man/Warm Woman, Orphan Male Lead, Melodrama",Yoo Je Won,Song Hye Jin,"Seo In Guk, Jung So Min, Park Sung Woong, Seo Eun Soo, Go Min Si, Jang Young Nam","Fuji Television, Studio Dragon, The Unicorn",#213
Team Bulldog: Off-duty Investigation,"May 23, 2020 - Jun 28, 2020",2020,OCN,"Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Known as an enthusiastic and impressively effective detective, Jin Kang Ho will stop at nothing to catch the criminals he’s assigned to pursue. Using any means necessary, Kang Ho goes above and beyond the call of duty to bring in the bad guys. While his gung ho attitude makes him an outstanding detective, it makes getting along with his colleagues a bit difficult. With a passion for solving the unsolvable cases, Kang Ho finds it’s better to work alone. Or so it was, until the day he met Kang Moo Young. The overly zealous producer of a low-rated investigative program, Moo Young is as enthusiastic about solving cases and catching criminals as Kang Ho. Sharing such an intense passion for their work, the two agree to team up, working together to make the world a better place. Soon joined on their quest to better the world by a former criminal profiler, a bar CEO and legendary fist-fighter who has chosen to put his past behind him, and a funeral director who once headed up the ace autopsy team at the National Forensic Service, this ragtag team soon become an unstoppable force in the world of crime-fighting.","Action, Mystery, Comedy, Drama","Investigation, Strong Female Lead, Teamwork, Smart Female Lead, Multiple Mains, Eccentric Female Lead, Eccentric Male Lead, Police Department Setting, Detective Fiction, Detective Male Lead",Kang Hyo Jin,"Lee Yoo Jin, Jung Yoon Sun","Cha Tae Hyun, Lee Sun Bin, Jung Sang Hoon, Yoon Gyung Ho, Ji Seung Hyun, Im Chul Hyung",Zium Content,#214
The Guardians,"May 22, 2017 - Jul 11, 2017",2017,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,"The plot centers on a group of people who find their ordinary lives thrown into chaos due to a family tragedy. They monitor criminals 24 hours a day and rescue potential victims before the crime is committed. They also embarrass corrupt state prosecutors and make sure that criminals are punished for their crimes. This TV show illustrates the current society where the simple rule of going to jail if you break the law no longer applies to those in power. Illustrating the tragic lives of the Watchmen group who channel their anger and grief into fighting for justice, “The Guardians” will have stylistic action scenes and a thrilling plot.","Action, Thriller, Mystery, Law, Crime","Revenge, Strong Female Lead, Corruption, Tragic Past, Teamwork, Investigation, Smart Male Lead, Attempted Murder, Lying, Policewoman","Song Hyung Suk, Park Seung Woo",Kim Soo Eun,"Lee Si Young, Kim Young Kwang, Kim Tae Hoon, Kim Seul Gi, Key, Choi Moo Sung","Gallery 9, Nano Chem Tech",#215
Terius Behind Me,"Sep 27, 2018 - Nov 15, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.3,"Go Ae Rin is a single mother who, after unexpectedly losing her husband, gets involved in a spy war. She lives in the apartment in front of Kim Bon. Kim Bon, whose code name is Terius, is a legendary black ops agent for the National Intelligence Service (NIS) who has gone into hiding after disappearing without a trace. 3 years ago, in a failed secret operation, he lost the woman he loved. Since then, Kim Bon has hidden away in his apartment, next to Go Ae Rin, isolated from the world around him and living in secrecy trying to uncover the mystery behind what happened back then. When a mysterious incident arises, in which Go Ae Rin's husband dies, they both team up to uncover a huge conspiracy in which Go Ae Rin's husband had become involved. Joining them is Jin Young Tae, a former con man, who may hold the key to what Go Ae Rin and Kim Bon are searching for, and Yoo Ji Yeon, a fellow NIS agent, who appears cold and unfeeling on the outside but harbours feelings towards Kim Bon, who she is kind towards.","Action, Mystery, Comedy, Romance","Corruption, Hidden Identity, Tragic Past, Teamwork, Spy Male Lead, Undercover Agent Male Lead, Character Development, Strong Female Lead, Single Mother Female Lead, Nice Male Lead","Park Sang Hoon, Park Sang Woo",Oh Ji Young,"So Ji Sub, Jung In Sun, Son Ho Jun, Im Se Mi, Kim Gun Woo, Ok Ye Rin","MBC, Mong-jak-so Company",#216
Hyena,"Feb 21, 2020 - Apr 11, 2020",2020,"Netflix, SBS","Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.  Lawyer Jung Geum Ja crosses the boundaries of law and lawlessness, justice and injustice, ethics and corruption. She is a true hyena that chases after success and money no matter what it takes. Armed with the strongest survival instincts, she endures through it all.  Yoon Hee Jae is a successful, elite lawyer. Confident in his abilities, he possesses a brilliant mind that is wrapped around his ego. Using his skills to support the highest in the land, he’s an expert at maneuvering the law to cater to their needs.","Mystery, Comedy, Law, Romance","Law Firm, Badass Female Lead, Investigation, Love/Hate Relationship, Corruption, Sismance, Sly Female Lead, Ambition, Deception, Rivalry",Jang Tae Yoo,Kim Roo Ri,"Joo Ji Hoon, Kim Hye Soo, Lee Kyung Young, Kim Ho Jung, Song Young Kyu, Jun Suk Ho",KeyEast,#217
Touch Your Heart,"Feb 6, 2019 - Mar 28, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Oh Yoon Seo is a popular actress. She is famous for her beautiful appearance, but her acting is bad. She gets involved in a scandal with the son from a chaebol family. Her acting career declines precipitously. Oh Yoon Seo hears that a famous screenwriter wants her to play the lead female role for a drama series. The character works as a secretary for a lawyer. To gain experience for the role, Oh Yoon Seo is required to work as a lawyer's secretary for a few months. Meanwhile, Kwon Jung Rok is an attorney for a law firm. He is arrogant and cold-hearted. One day, his boss asks Kwon Jung Rok to let actress Oh Yoon Seo work as his secretary for 3 months. He is not happy about the situation, but he has to accept.","Comedy, Law, Romance, Drama","Famous Lead/Common Lead, Law Firm, Hardworking Male Lead, Hardworking Female Lead, Nice Male Lead, Calm Male Lead, Opposites Attract, Smart Male Lead, Smart Female Lead, Naive Female Lead",Park Joon Hwa,"Choi Bo Rim, Lee Myung Sook","Lee Dong Wook, Yoo In Na, Lee Sang Woo, Son Sung Yoon, Oh Jung Se, Shim Hyung Tak","Mega Monster, Zium Content",#218
Angry Mom,"Mar 18, 2015 - May 7, 2015",2015,MBC,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"The protagonist, Jo Kang Ja was once legendary for being the toughest, most feared troublemaker at her high school in Busan. Due to her pregnancy in her late teens, she drops out of school and tries to become a responsible mother to her daughter, Oh Ah Ran. Fast-forward to the present, Kang Ja is now 34 years old and Ah Ran is a teenager attending high school. The two have a contentious relationship, with Ah Ran ashamed of Kang Ja's unrefined ajumma manners. Meanwhile, in Myungsung High School, when Ah Ran befriends the class outcast Jin Yi Kyung, it makes her the target of the school bullies who make her life hell, yet she's too proud to tell her mother what's happening. When Kang Ja finds out that her daughter is getting bullied, she decides to take matters into her own hands. Unbeknownst to Ah Ran, Kang Ja enrolls in Myungsung High as an undercover student with the false name ""Jo Bang Wool"" to teach those bullies a lesson. But she ends up unraveling the darker problems within the educational system. Kang Ja makes it her mission to put a stop to the school violence, dig up the flaws of the education system, and school corruption at Myungsung High with the help of Ah Ran and naive, idealistic homeroom teacher Park No Ah.","Comedy, Drama, Melodrama","Independent Female Lead, Mother-Daughter Relationship, High School, Corruption, Strong Female Lead, School Bullying, Double Identity, Sexual Harassment, Sexual Assault, Smart Female Lead",Ashbun,Kim Ban Di,"Kim Hee Sun, Kim Yoo Jung, Ji Hyun Woo, Kim Ji Soo, Baro, Kim Tae Hoon",,#219
Welcome 2 Life,"Aug 5, 2019 - Sep 24, 2019",2019,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,"“Welcome 2 Life” is a fantasy drama that will tell the story about a selfish lawyer who helps people who want to take advantage of the law. One day, he gets sucked into a parallel universe due to an unfortunate accident and begins to live a completely new life as an upright prosecutor.","Comedy, Law, Romance, Fantasy","Successful Male Lead, Smart Male Lead, Strong Female Lead, Parallel Dimension, Second Chance, Marriage, Father-Daughter Relationship, Death, Law Firm, Police Department Setting","Kim Keun Hong, Shim So Yeon",Yoo Hee Kyung,"Rain, Im Ji Yeon, Kwak Shi Yang, Seo Hye Rin, Park Yoon Young, Son Byung Ho",Kim Jong-hak Production,#220
Suspicious Partner,"May 10, 2017 - Jul 13, 2017",2017,SBS,"Wednesday, Thursday",40,30 min.,15+ - Teens 15 or older,8.3,"Noh Ji Wook is a brainiac prosecutor and Eun Bong Hee is a rookie justice department intern, who always seems to find herself in the most unfortunate and embarrassing situations. Bong Hee is falsely accused of murdering her ex-boyfriend, and Ji Wook gets demoted because he risks his career and reputation to save Bong Hee. Things get complicated as their careers, and love lives get entangled, but one thing brings them together- catching the real culprit responsible for a series of murders before they run out of time and get themselves killed. Ji Eun Hyuk used to be a good friend of Ji Wook, and their friendship used to be the strongest ever. During Eun Hyuk's troubled childhood, Ji Wook used to feel like his only family.","Thriller, Comedy, Law, Romance","Cohabitation, Nice Male Lead, Hardworking Female Lead, Smart Male Lead, Tragic Past, Nice Female Lead, Ex-girlfriend Comes Back, Steamy Kiss, Strong Female Lead, Wrongfully Accused",Park Seon Ho,Kwon Ki Young,"Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra, Dong Ha, Kim Ye Won",The Story Works,#221
Mine,"May 8, 2021 - Jun 27, 2021",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"“Mine” is about strong and ambitious women who overcome the world’s prejudices in order to find their true selves. Seo Hee Soo was a former top actress, but she gave up her career to marry the second son of Hyo Won Group. She does her best to fit in as a daughter-in-law of that family. She acts confidently all the time to not to lose her true self. Jung Seo Hyun, on the other hand, is married to the first son of the same chaebol family. She is also the daughter of a chaebol family and is elegant, intelligent, and also very rational.","Thriller, Mystery, Drama","Rich Female Lead, Strong Female Lead, Rich Family, Multiple Couples, Sibling Rivalry, Smart Female Lead, Ambition, Hidden Identity, Psychological, Big Family",Lee Na Jung,Baek Mi Kyung,"Lee Bo Young, Kim Seo Hyung, Ok Ja Yeon, Lee Hyun Wook, Cha Hak Yeon, Jung Yi Seo",JS Pictures,#222
When the Weather Is Fine,"Feb 24, 2020 - Apr 21, 2020",2020,"jTBC, Viki","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.3,"A story about forgiveness, healing, and love taking place around a small book store in the countryside. Hae Won is an ordinary woman with good character. She has played the cello since she was a child. Hae Won began her social life with her ability to play the cello but, during that time, she was hurt emotionally by others. Due to that, Hae Won does not trust people and she has closed her heart to others. Hae Won becomes sick and tired of her life in Seoul and decides to move back to her hometown Bookhyun Village. There, Hae Won meets Eun Seob who runs a bookshop named ""Goodnight Bookstore."" Eun Seob's daily life is simple; wake up, drink coffee, read a book, and write on his blog. However, Eun Seob's daily life begins to change after he meets Hae Won.","Romance, Life, Drama, Melodrama","Nice Male Lead, Healing, Secret Crush, Slow Burn Romance, Adapted From A Novel, Steamy Kiss, Return To Hometown, Calm Male Lead, Bromance, Flashback To Past",Han Ji Seung,Han Ga Ram,"Park Min Young, Seo Kang Joon, Lee Jae Wook, Kim Hwan Hee, Moon Jung Hee, Im Se Mi",Ace Factory,#223
Lawless Lawyer,"May 12, 2018 - Jul 1, 2018",2018,tvN,"Saturday, Sunday",16,1 hr. 6 min.,15+ - Teens 15 or older,8.3,"Whatever gets the job done. Bong Sang Pil  grew up living the gangster life, full of tough physical fights and evading the law. When his mother dies a tragic death, he is determined to avenge her death. Sang Pil becomes a lawyer and begins to go after people with absolute power who think they are beyond the law. With the cunning and skills from his previous life, Sang Pil uses both his fists and legal loopholes to amass an impressive winning record. Ha Jae Yi is a young lawyer who believes the law is sacred and fights for justice. But her license gets suspended when she hits a judge over an unjust ruling during a trial. Jae Yi ends up going to work for Sang Pil so that she can continue to pay off her father’s debts. When Sang Pil and Jae Yi get involved in a case that involves Cha Moon Sook, a senior judge who wields a great deal of power, and Ahn Oh Joo, a former gangster who is now the CEO of a corporation, can they figure out a way to beat the most powerful people in the city at a very dangerous game?","Action, Thriller, Law, Romance","Smart Female Lead, Strong Female Lead, Revenge, Mixed Martial Arts, Male Chases Female First, Tragic Past, Corruption, Badass Female Lead, Teamwork, Calm Female Lead",Kim Jin Min,Yoon Hyun Ho,"Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo, Lee Ro Woon, Lee Dae Yeon",Logos Film,#224
Crazy Love,"Mar 7, 2022 - Apr 26, 2022",2022,KBS2,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"No Go Jin is the most popular mathematics instructor in the private education field and the CEO of GOTOP Education. Even though he has only a high school level education, he has achieved all of his success due to his extreme intelligence. He seems like a perfect man with a handsome appearance, high IQ, and wealth. He is also narcissistic. One day, he is suddenly warned that he will be murdered. Lee Shin A works as No Go Jin’s secretary. She is a diligent and responsible employee. Due to her quiet and introverted personality, she has little presence with her boss No Go Jin and her colleagues at work. Her colleagues begin to recognize her, because she has worked for the notorious No Go Jin for more than 1 year. She then learns that she does not have much time left to live.","Comedy, Romance, Drama","Enemies To Lovers, Boss-Employee Relationship, Secretary Female Lead, Steamy Kiss, Narcissistic Male Lead, Slow Burn Romance, Love/Hate Relationship, Hardworking Female Lead, Rich Male Lead, Fake Relationship",Kim Jung Hyun,Kim Bo Gyeom,"Kim Jae Wook, Krystal Jung, Ha Joon, Yoo In Young, Im Won Hee, Park Han Sol",Arc Media,#225
WATCHER,"Jul 6, 2019 - Aug 25, 2019",2019,OCN,"Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"After a dramatic incident 15 years ago, a senior detective, Do Chi Kwang, a former prosecutor Han Tae Joo and a young policeman, Kim Young Koon, become members of an internal affairs investigation team to uncover the truth and root out corruption and injustice from within the ranks of the police.","Thriller, Mystery, Drama, Political","Smart Male Lead, Smart Female Lead, Tragic Past, Corruption, Psychological, Trauma, Nice Male Lead, Badass Male Lead, Character Development, Detective Fiction",Ahn Gil Ho,Han Sang Woon,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",Studio Dragon,#226
Five Enough,"Feb 20, 2016 - Aug 21, 2016",2016,KBS2,"Saturday, Sunday",54,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"After losing his wife five years ago, Lee Sang Ta is left with his two children. Since that time, he lives with his two kids and parents-in-law, who treat him like their own son. He works as a marketing team leader for a fashion brand and never expects to find someone who will make his heart beat again. Ahn Mi Jeong works as an assistant manager at the same fashion company. 3 years ago, her husband had an affair with her friend and left her. She couldn't tell her 3 children the truth about their father and lied that he went to work in America. To this day, the children still believe that their father is in America. She has numbed herself from the struggles of raising her children alone while working. As these two begin to find love again, a tempest is brewing as three sets of in-laws and five children learn to become one family.","Comedy, Romance, Drama, Melodrama","Motherhood, Strong Female Lead, Multiple Couples, Nice Male Lead, Workplace Setting, Best Friends' Relationship, Ex-spouse Relationship, Death Of A Mother, Half-brothers' Relationship, Half-sisters' Relationship",Kim Jung Gyu,Jung Hyun Jung,"Ahn Jae Wook, So Yoo Jin, Sung Hoon, Shin Hye Sun, Shim Hyung Tak, Shim Yi Young",AStory,#227
Amanza,"Sep 1, 2020 - Nov 3, 2020",2020,Daum Kakao TV,Tuesday,10,15 min.,15+ - Teens 15 or older,8.3,"A 26-year-old man’s life is turned upside down when he is diagnosed with terminal stomach cancer. As he struggles with the pain of his treatment and the realization that he never truly lived, he retreats into his imagination, to a magical forest where answers and miracles can be found.","Adventure, Life, Fantasy, Melodrama","Cancer, Dream World, Mixed Live Action-Animation, Tearjerker, Terminal Illness, Adapted From A Webtoon, Web Series, Short Length Series, Supportive Girlfriend, Mental Illness",Han Ji Won,Kwak Jae Min,"Kim Ji Soo, Lee Seol, Oh Hyun Kyung, Yoo Seung Mok, Lee Jong Won, Shin Joo Hwan","Lezhin Studio, Production KEZR",#228
